"ID del Proceso","Nombre del Procedimiento","Descripción del Procedimiento","Estado del Procedimiento","URLProceso","Entidad","Nit Entidad","Nombre de la Unidad de Contratación","Nombre del Proveedor Adjudicado","Modalidad de Contratacion","Justificación Modalidad de Contratación","Tipo de Contrato","Precio Base","Valor Total Adjudicacion","Duracion","Unidad de Duracion","Proveedores que Manifestaron Interes","Conteo de Respuestas a Ofertas","Fecha de Publicacion del Proceso","Fecha de Apertura Efectiva","Fecha Adjudicacion"
"CO1.REQ.8449117","Renovación de licencias equipo seguridad perimetral antivirus ICANH","Adquirir la renovación de las licencias del equipo de seguridad perimetral y antivirus, renovación del pool de direcciones IPV6 y renovación de las licencias de los dispositivos Access Point para el Instituto Colombiano de Antropología e Historia","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8322503","ICANH","830067892","Oficina de Contratos","ITSEC SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$238.196.663","$182.081.594","120","día(s)","0","1","06/20/2025","07/08/2025","07/15/2025"
"CO1.REQ.8970419","SUMINISTRO TIQUETES AEREOS INTERNACIONALES","Suministro de tiquetes aéreos en rutas nacionales e internacionales para la Agencia Nacional de Defensa Jurídica del Estado.","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8836674","AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO","900507741","GRUPO DE GESTIÓN CONTRACTUAL","GOLD TOUR S.A.S","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$323.457.065","$323.457.065","0","día(s)","0","1","09/24/2025","10/08/2025","10/10/2025"
"CO1.REQ.8215463","ADQUISICIÓN EQUIPO MÉDICO HOSPITALARIO FUERZA AÉREA COLOMBIANA","ADQUISICIÓN DE EQUIPO MÉDICO Y DE USO HOSPITALARIO PARA LA JEFATURA DE SALUD DE LA FUERZA AÉREA COLOMBIANA Y SUS ESTABLECIMIENTOS DE SANIDAD MILITAR A NIVEL NACIONAL","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8092105","JEFATURA SALUD FUERZA AEREA","901440176","JEFATURA SALUD FUERZA AÉREA","TECNICA ELECTROMEDICA S.A.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$650.446.000","$233.063.600","3","Mes(es)","0","1","05/06/2025","06/13/2025","06/26/2025"
"CO1.REQ.9296337","ALIMENTACION PRIVADOS DE LA LIBERTAD","CONTRATAR EL SUMINISTRO DE LA ALIMENTACIÓN DE LAS PERSONAS PRIVADAS DE LA LIBERTAD EN LA ESTACIÓN DE POLICÍA DEL MUNICIPIO DE NEIRA, GARANTIZANDO LA CALIDAD, CANTIDAD DE LOS ALIMENTOS, ASÍ COMO LA HIGIENE Y SEGURIDAD","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9156568","ALCALDIA DE NEIRA","890801135","GESTION CONTRACTUAL","FUNDACIÓN SERVICIO ALIMENTACIÓN Y BIENESTAR SOCIAL","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Prestación de servicios","$156.000.000","$35.000","13","Mes(es)","0","1","11/19/2025","11/27/2025","12/05/2025"
"CO1.REQ.8249577","ADQUISICIÓN SUMINISTRO MATERIALES FORMACIÓN CENTRO INDUSTRIA SERVICIOS META","ADQUISICIÓN Y/O SUMINISTRO DE MATERIALES DE FORMACIÓN PARA LOS DIFERENTES PROGRAMAS DEL CENTRO DE INDUSTRIA Y SERVICIOS DEL META PARA LA VIGENCIA 2025","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8129975","SENA REGIONAL META Grupo de Apoyo Administrativo Mixto","899999034","CONTRATACION CISM 2026","GRUPO EMPRESARIAL CDJ S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$716.950.783","$21.467.125","180","día(s)","0","1","05/13/2025","06/04/2025","06/17/2025"
"CO1.REQ.9334793","Transferencia productos agropecuarios Municipio Timbio","Transferir a título de venta productos, insumos, alimentos entre otros elementos agropecuarios con el fin de fortalecer a los productores agropecuarios del Municipio de Timbio","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9193331","MUNICIPIO DE TIMBIO","891500742","SECRETARIA DE PLANEACION E INFRAESTRUCTURA - CONTRATACION","COMERCIALIZADORA Y ACABADOS DEL CAUCA","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Prestación de servicios","$166.731.308","$163.952.357","0","día(s)","0","1","11/25/2025","12/10/2025","12/14/2025"
"CO1.REQ.8673832","BIOLOGÍA MOLECULAR","Suministrar insumos y reactivos de biología molecular y prestación del servicio de intervenciones metrológicas e instalación de consumibles del equipo LIGHTCYCLER 480 para la Oficina de Laboratorios - Invima","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8542944","INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS","830000167","Grupo de Gestion Contractual","ISLA SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$71.067.605","$17.602.295","90","día(s)","0","1","08/01/2025","08/27/2025","09/02/2025"
"CO1.REQ.8625591","Consumibles de impresión SENA","Adquisición de consumibles de impresión tipo tóner, cartuchos, cintas y etiquetas para las impresoras a cargo de la dirección general del SENA","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8494809","SENA DIRECCION GENERAL","899999034","Dirección Administrativa y Financiera","VENEPLAST LTDA","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$1.266.664.287","$1.075.119.780","3","Mes(es)","0","1","07/24/2025","08/13/2025","08/19/2025"
"CO1.REQ.7715291","ADQUISICION CIGARRILLOS","SUMINISTRO DE PRODUCTOS DE TABACO (CIGARRILLOS) PARA LA VENTA AL PERSONAL PRIVADO DE LA LIBERTAD EN EL ALMACEN EXPENDIO DE LA CPAMSM BOGOTA - INPEC","Abierto","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7610791","RECLUSIÓN DE MUJERES DE BOGOTA","830032895","129-RMBOGOTA-CONTRATOS","GRUPO EMPRESARIAL SHALOM GES S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$376.000.000","$376.000.000","9","Mes(es)","0","1","02/12/2025","02/25/2025","02/25/2025"
"CO1.REQ.7982639","SUMINISTROS VÍVERES PERSONAL POLICIA EL BAGRE","SUMINISTROS DE VÍVERES Y OTROS ELEMENTOS CON DESTINO A LA PREPARACIÓN DE ALIMENTOS PARA EL PERSONAL DE POLICIA QUE SE ENCUENTRA PRESTANDO SERVICIOS EN PUERTO CLAVER - EL BAGRE","Abierto","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7858977","MUNICIPIO DE EL BAGRE","890984221","SECRETARIA DE PLANEACION","No Definido","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$342.605.010","$0","11","Mes(es)","0","1","03/18/2025","04/02/2025","04/02/2025"
